,Company,Product,Size,Currency,Prices
997,INDIA GATE ,Basmati Rice Classic,1Kg,SAR,14.95
998,Heinz ,Tomato Ketchup Squeeze Bottle,342G,SAR,8.75
999,IGLOO ,Vanilla Ice Cream,1L,SAR,15.95
1000,Herfy ,Chicken Popcorn,400G,SAR,18.25
1001,Indomie ,Instant Cup Noodles Chicken Flavor,60G,SAR,2.35
1002,ALICAFE ,Signature 3 In 1 French Roast Dark Instant Coffee,30 x 25G,SAR,34.5
1003,Al Shifa ,Natural Honey,125G,SAR,11.55
1004,ALICAFE ,3 In 1 Classic Instant Coffee Special Promotion,22 + 4 Sachets Free,SAR,25.95
1005,Al Shalan ,Natural Honey,250G,SAR,23.95
1006,Karak Tea ,Instant Premix With Cardamom,10 X 20G,SAR,29.95
1007,Kellogg's ,Corn Flakes,375G,SAR,13.6
1008,KDD ,Cocktail Fruit Drink,40 x 125Ml,SAR,59.5
1009,KDD ,Vanilla Ice Cream In Biscuit Sandwich,10 Pieces,SAR,12.95
1010,KitKat ,Milk Chocolate Bar 2 Finger,36 x 20.5G,SAR,35.95
1011,LAMB WESTON ,Original Fries,2.5Kg,SAR,13.95
1012,Kikkoman ,Soy Sauce,1L,SAR,26.15
1013,KLASSNO ,Coffee Mix 3 In 1,24 + 6 Free Sticks x 20G,SAR,28.45
1014,LONDON DAIRY ,Pralines & Cream Ice Cream,500 Ml,SAR,20.95
1015,Langnese ,Black Forest Honey,125G,SAR,29.4
1016,LONDON DAIRY ,Ice Cream Vanilla Flavor,1L,SAR,38.95
1017,Al Shalan ,Ambar White Basmati Rice,10Kg,SAR,54.95
1018,Americana ,Chicken Burger,1000G,SAR,21.5
1019,Americana ,Beef Hot Dogs,450G,SAR,17.05
1020,Americana ,Classic Beef Burger,1Kg,SAR,26.2
1021,Americana ,Chicken Nuggets,400G,SAR,15.25
1022,Americana ,Chicken Strips,750G,SAR,29.4
1023,Americana ,Frozen Okra,400G,SAR,6.25
1024,Americana ,Frozen Tender Chicken Breast,2Kg,SAR,44.95
1025,Lotus ,Biscoff Biscuit Spread,400G,SAR,23.4
1026,Americana ,Frozen Garden Peas,450G,SAR,7.95
1027,M&M ,Ice Cream Cone,110 Ml,SAR,5.95
1028,Maggi ,Cream Of Mushroom Soup,68G,SAR,4.15
1029,Americana ,Happy Chicken Nuggets,400G,SAR,16.5
1030,Milgarosa ,Thai Fragrant White Rice,5Kg,SAR,36.5
1031,MC ,Straight Cut Frozen French Fries,2.5Kg,SAR,24.0
1032,Mcvitie's ,Digestive Wheat Biscuits,250G,SAR,7.95
1033,MC ,Thin Frozen French Fries,2.5Kg,SAR,25.5
1034,MCCAIN ,Chocolate Cake,510G,SAR,29.0
1035,Americana ,Hot And Crunchy Chicken Fries,400G,SAR,15.5
1036,Aquafina ,Dinking Water,200 Ml,SAR,0.5
